year,lat,lon,num_taps,num_hh,wp_pop_last,num_kiosks,num_scheme_tanks,wp_revenue_model,volume_method,country_name,wp_m3,wp_revenue_USD,quarters_used,wp_type_cat,month_1,month_2,month_3,month_4,month_5,month_6,month_7,month_8,month_9,month_10,month_11,month_12,wp_count_within_500m,wp_count_within_1000m,wp_count_within_2000m,wp_count_within_10000m,wp_count_within_20000m,pop_served_last_within_500m,pop_served_last_within_1000m,pop_served_last_within_2000m,pop_served_last_within_5000m,pop_served_last_within_10000m,pop_served_last_within_20000m,Population_Within_500m,Population_Within_1000m,Population_Within_2000m,Population_Within_5000m,Population_Within_10000m,Population_Within_20000m
2022,0.0000,0.0000,6,1,2800,,,volumetric,,2,2294.635,1117.14,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,11,0,0,0,0,96000,175200,2002.639605,2453.233516,3674.843675,8513.056434,44378.78234,232577.0179
2023,0.0000,0.0000,6,1,2800,0,,volumetric,manual,2,2069.346,1746.2,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,11,0,0,0,0,83800,159800,2002.639605,2453.233516,3674.843675,8513.056434,44378.78234,232577.0179
2024,0.0000,0.0000,6,1,2800,0,0,volumetric,manual,2,2208.794,1995,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,11,0,0,0,0,44600,123800,2002.639605,2453.233516,3674.843675,8513.056434,44378.78234,232577.0179
2021,0.0000,0.0000,11,48,6500,,,volumetric,,2,4581.588,2319.03,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,46400,2027.966448,4535.666894,6650.857705,9790.934785,32674.12847,80949.954
2022,0.0000,0.0000,11,75,6500,,,volumetric,,2,1664.129,1197.65,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,46400,2027.966448,4535.666894,6650.857705,9790.934785,32674.12847,80949.954
2023,0.0000,0.0000,11,79,6500,0,,volumetric,manual,2,1663.789,1484.69,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,41600,2027.966448,4535.666894,6650.857705,9790.934785,32674.12847,80949.954
2021,0.0000,0.0000,5,5,5000,,,volumetric,,2,3968.976,2183.99,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097.562539,4951.226566,6512.2044,9085.378797,49114.75598,199678.8207
2022,0.0000,0.0000,5,6,5000,,,volumetric,,2,1106.646,1056.45,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097.562539,4951.226566,6512.2044,9085.378797,49114.75598,199678.8207
2023,0.0000,0.0000,5,6,5000,0,,volumetric,manual,2,1174.063,782.82,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097.562539,4951.226566,6512.2044,9085.378797,49114.75598,199678.8207
2024,0.0000,0.0000,5,8,5000,0,0,volumetric,manual,2,642.622,4171.52,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1097.562539,4951.226566,6512.2044,9085.378797,49114.75598,199678.8207
2021,0.0000,0.0000,37,604,11400,9,,volumetric,manual,4,65065.46,33049.15,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,2614.492905,5654.876056,8991.016324,11995.90862,16414.25606,52853.08024
2022,0.0000,0.0000,41,712,12000,9,,volumetric,manual,4,64366.73,33327.77,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,2614.492905,5654.876056,8991.016324,11995.90862,16414.25606,52853.08024
2023,0.0000,0.0000,43,806,11400,9,,volumetric,manual,4,75476.65,43528.06,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,0,0,0,0,0,0,2579.002051,5654.876056,8979.186039,11995.90862,16414.25606,52818.08941
2024,0.0000,0.0000,44,888,14100,9,2,volumetric,manual,4,76673.12,45562,"1,2,3,4",Scheme,,,,,,,,,,,,,2,2,2,2,2,0,0,0,0,0,0,2579.002051,5654.876056,8979.186039,11995.90862,16414.25606,52818.08941
2021,0.0000,0.0000,6,1,2000,,,volumetric,,2,3510.199,2203.47,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,13,20,0,0,0,10816,55616,90772,1648.781533,3267.720866,3827.155743,9936.027521,38112.60891,141249.1972
2022,0.0000,0.0000,6,2,2000,,,volumetric,,2,2501.646,1802.39,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,13,20,0,0,0,10816,55616,90772,1648.781533,3267.720866,3827.155743,9936.027521,38112.60891,141249.1972
2023,0.0000,0.0000,6,2,2000,0,,volumetric,manual,2,1769.843,1479.11,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,13,20,0,0,0,10816,55616,99483,1648.781533,3267.720866,3827.155743,9936.027521,38112.60891,141249.1972
2024,0.0000,0.0000,6,2,2000,0,0,volumetric,manual,2,2547.312,1697.63,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,13,20,0,0,0,10816,55616,100772,1648.781533,3267.720866,3827.155743,9936.027521,38112.60891,141249.1972
2021,0.0000,0.0000,5,6,2500,,,volumetric,,2,7489.755,5228.32,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,14,0,0,0,0,0,50416,1213.440219,1654.691208,2360.69279,3517.731104,76310.36612,238065.2056
2022,0.0000,0.0000,5,7,2500,,,volumetric,,2,7824.439,5783.62,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,14,0,0,0,0,0,50416,1213.440219,1654.691208,2360.69279,3517.731104,76310.36612,238065.2056
2023,0.0000,0.0000,5,10,2500,0,,volumetric,manual,2,6985.941,5513.55,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,14,0,0,0,0,0,59916,1213.440219,1654.691208,2360.69279,3517.731104,76310.36612,238065.2056
2024,0.0000,0.0000,5,10,2500,0,0,volumetric,manual,2,5993.93,7629.68,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,14,0,0,0,0,0,62416,1213.440219,1654.691208,2360.69279,3517.731104,76310.36612,238065.2056
2021,0.0000,0.0000,6,1,3500,,,volumetric,,2,4176.981,3146.86,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,11,18,0,0,0,11200,42016,74772,126.8293487,514.7779446,3193.115366,9559.865312,28050.30638,125998.2026
2022,0.0000,0.0000,6,2,3500,,,volumetric,,2,2882.73,2349.6,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,11,18,0,0,0,11200,42016,74772,126.8293487,514.7779446,3193.115366,9559.865312,28050.30638,125998.2026
2023,0.0000,0.0000,6,3,3500,0,,volumetric,manual,2,1422.327,1229.23,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,11,18,0,0,0,11200,41516,82983,126.8293487,514.7779446,3193.115366,9559.865312,28050.30638,125998.2026
2024,0.0000,0.0000,6,3,3500,0,0,volumetric,manual,2,1769.03,933.58,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,11,18,0,0,0,11200,42016,84772,126.8293487,514.7779446,3193.115366,9559.865312,28050.30638,125998.2026
2021,0.0000,0.0000,1,0,1000,,,volumetric,,2,194.85,194.85,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,11600,893.6759154,1454.116744,1984.263473,10424.25344,19966.85081,121822.3804
2022,0.0000,0.0000,1,0,2309,,,volumetric,,2,62.828,61.2,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,6168,893.6759154,1454.116744,1984.263473,10424.25344,19966.85081,121822.3804
2021,0.0000,0.0000,1,0,1000,,,volumetric,,2,1168,1168,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,74,138,0,0,0,0,16000,16000,212.8858402,231.1491785,1711.452347,5302.959078,41490.08548,233868.2892
2022,0.0000,0.0000,1,0,262,,,volumetric,,2,750.476,503.59,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,74,138,0,0,2464,10160,48744,73960,212.8858402,231.1491785,1711.452347,5302.959078,41490.08548,233868.2892
2021,0.0000,0.0000,1,0,500,,,volumetric,,2,105.299,105.3,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,9600,9600,13600,15.14704941,121.1763953,272.6468894,1560.14609,9103.376697,182090.6535
2022,0.0000,0.0000,1,0,15,,,volumetric,,2,38.302,35.16,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,0,0,5138,5138,11756,15.14704941,121.1763953,272.6468894,1560.14609,9103.376697,182090.6535
2021,0.0000,0.0000,1,0,1500,,,volumetric,,2,445.036,445.04,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,0,3600,3600,5600,5600,9600,0,302.9409883,1242.058052,4741.026466,11930.97405,169732.3434
2022,0.0000,0.0000,1,0,0,,,volumetric,,2,241.942,198.01,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,4,6,0,0,0,3168,3168,9786,0,302.9409883,1242.058052,4741.026466,11930.97405,169732.3434
2021,0.0000,0.0000,1,0,900,,,volumetric,,2,432.67,432.67,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,6,0,6000,6000,8000,8000,12000,348.3821365,1060.293459,1287.4992,5043.967455,12225.19235,164212.2112
2022,0.0000,0.0000,1,0,169,,,volumetric,,2,221.306,215.45,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,6,0,0,0,4030,4030,10648,348.3821365,1060.293459,1287.4992,5043.967455,12225.19235,164212.2112
2022,0.0000,0.0000,1,0,1866,,,volumetric,,2,1440.898,964.47,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,6,6586,12516,12516,12516,12516,24516,779.5434135,1073.710739,2118.004746,21133.45176,47054.91175,134451.5162
2022,0.0000,0.0000,1,0,2293,,,volumetric,,2,975.388,700.98,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,6,11662,11662,11662,11662,11662,23662,742.7724978,1029.585641,2066.525464,19356.61278,46856.76595,133494.0117
2022,0.0000,0.0000,1,0,1965,,,volumetric,,2,963.802,604.93,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,6,6586,12318,12318,12318,12318,24318,529.5011866,992.8147248,2118.004746,18333.10108,46881.06172,133701.8447
2022,0.0000,0.0000,1,0,2274,,,volumetric,,2,987.9,712.97,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,5794,5794,34194,1076.536277,1586.173131,2370.670312,10145.58419,43694.48998,228776.2615
2022,0.0000,0.0000,1,0,1397,,,volumetric,,2,618.406,451.15,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,7548,7548,35948,910.4748299,927.6536003,1798.013073,11402.13872,43923.2753,219168.6532
2022,0.0000,0.0000,1,0,0,,,volumetric,,2,652.838,309.63,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.30376157,287.9744502,950.1420166,6694.213352,81317.66993,348456.8396
2022,0.0000,0.0000,1,0,1502,,,volumetric,,2,645.546,435.17,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370.1385435,379.5229091,529.6727584,8933.114048,24237.67703,185470.0793
2022,0.0000,0.0000,1,0,166,,,volumetric,,2,244.672,192.84,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,7,2564,2564,2564,2564,2564,2596,49.3701368,49.3701368,82.28356134,954.1568712,9358.701085,181226.9794
2022,0.0000,0.0000,1,0,116,,,volumetric,,2,586,586,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,11,2664,2664,2664,2664,2664,16696,49.3701368,49.3701368,82.28356134,935.6988062,11262.33223,177037.8719
2022,0.0000,0.0000,1,0,166,,,volumetric,,2,230,230,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,9,2564,2564,2564,2564,2564,14596,49.3701368,49.3701368,82.28356134,935.6988062,10360.8353,180664.9327
2024,0.0000,0.0000,5,383,4500,0,0,volumetric,manual,2,5836.995,7301.23,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,0,1010.212876,2220.048655,2462.01581,4397.753057,10615.00578,43843.34796
2021,0.0000,0.0000,5,0,4500,,,volumetric,,2,6259.981,4788.43,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,0,0,0,0,0,14000,1010.212876,2220.048655,2462.01581,4397.753057,10615.00578,43843.34796
2023,0.0000,0.0000,6,36,2500,0,,volumetric,manual,2,3591.123,3821.2,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,24,0,0,0,11867,21867,114983,1432.425585,2305.309926,2402.297075,6505.599531,12906.75136,124327.7172
2024,0.0000,0.0000,6,36,2500,0,0,volumetric,manual,2,3608.485,2719.82,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,4,24,0,0,0,13156,23156,110772,1432.425585,2305.309926,2402.297075,6505.599531,12906.75136,124327.7172
2021,0.0000,0.0000,6,25,2500,,,volumetric,,2,9770.785,6581.79,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,0,18000,18000,18000,18000,18000,1034.002916,3147.964433,3837.29971,5579.073835,41174.10567,121088.1707
2022,0.0000,0.0000,6,21,2500,,,volumetric,,2,6996.301,4818.35,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,0,18000,18000,18000,18000,18000,1034.002916,3147.964433,3837.29971,5579.073835,41174.10567,121088.1707
2023,0.0000,0.0000,6,23,2500,0,,volumetric,manual,2,4194.567,3452.53,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,0,17000,17000,17000,17000,17000,1034.002916,3147.964433,3837.29971,5579.073835,41174.10567,121088.1707
2024,0.0000,0.0000,6,24,2500,0,0,volumetric,manual,2,5769.499,2967.9,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,0,18000,18000,18000,18000,18000,1034.002916,3147.964433,3837.29971,5579.073835,41174.10567,121088.1707
2023,0.0000,0.0000,5,1,5000,0,,volumetric,manual,2,2665.248,2275.3,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,7,0,0,0,18000,18000,28400,1328.625643,1875.299736,2082.897493,4394.152519,21417.16858,185350.7494
2024,0.0000,0.0000,5,1,5000,0,0,volumetric,manual,2,3574.106,5488.68,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,7,0,0,0,18000,18000,28400,1328.625643,1875.299736,2082.897493,4394.152519,21417.16858,185350.7494
2021,0.0000,0.0000,5,0,5000,,,volumetric,,2,3976.785,2776.12,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,7,0,0,0,18000,18000,28400,1328.625643,1875.299736,2082.897493,4394.152519,21417.16858,185350.7494
2021,0.0000,0.0000,2,1,2000,,,,,3,2889,0,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,26,0,0,0,6306,10896,51321,131.5100194,169.0843106,375.7429125,2198.096038,6989.150685,27610.96355
2021,0.0000,0.0000,2,1,20,,,,,3,766,0,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,21,0,0,0,246,46656,91779,54.09586948,137.3202841,549.2811363,4625.587956,18017.41445,62677.65261
2021,0.0000,0.0000,1,1,652,,,,,3,2027,0,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,0,0,0,10350,25440,55725,51.66465047,103.3293009,234.8393203,1552.736955,6266.600398,25370.89381
2022,0.0000,0.0000,1,1,652,,,volumetric,,3,2318,148.62,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,28,0,0,0,0,20120,44360,51.66465047,103.3293009,234.8393203,1552.736955,6266.600398,25370.89381
2021,0.0000,0.0000,1,0,1500,,,,,3,1247,0,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,0,0,0,4440,43971,75672,54.00752079,121.253448,442.5297259,2971.788634,12255.97128,39720.23405
2022,0.0000,0.0000,1,0,1500,,,volumetric,,3,1564,651.99,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,0,0,0,120,30428,71768,54.00752079,121.253448,442.5297259,2971.788634,12255.97128,39720.23405
2024,0.0000,0.0000,1,0,181,1,1,volumetric,manual,3,3743,115.68,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16,0,0,0,0,7563,78423,47.68255037,164.2398957,744.0977785,4246.165988,15820.03626,68541.70844
2024,0.0000,0.0000,1,0,630,1,1,volumetric,manual,3,1528,237.66,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,14,0,0,2920,2920,5007,77267,51.69714862,156.7368269,570.8736425,4035.495141,18219.44614,74752.35767
2024,0.0000,0.0000,0,5,15000,2,0,volumetric,manual,3,13210,247.39,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,28,0,0,0,190,22900,45773,43.84829678,511.0359365,2432.620885,6105.235619,17546.57565,65197.44589
2024,0.0000,0.0000,0,2,2000,1,1,volumetric,manual,3,949,1036.48,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,37,0,0,0,14500,25113,176350,116.4443043,181.0102894,483.3746578,3411.093998,12416.41057,51270.53371
2024,0.0000,0.0000,3,14,3500,3,1,volumetric,manual,3,6549,5424.07,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,12,38,0,0,0,9350,78850,171710,31.12442049,102.265953,573.5786061,3457.013713,12523.60858,52712.9157
2024,0.0000,0.0000,1,0,600,1,1,volumetric,manual,3,1222,753.49,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,34,0,0,0,480,46410,176830,54.00752079,121.253448,442.5297259,2971.788634,12255.97128,39720.23405
2024,0.0000,0.0000,0,1,1500,2,1,volumetric,manual,3,1334,1013.39,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,24,0,0,0,190,61250,93230,71.96006148,208.8197182,823.8415403,4965.499631,21091.56902,70379.00842
2021,0.0000,0.0000,1,0,300,,,,,3,857,0,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,45000,45000,45000,45000,45060,70116,26.80100602,236.7422198,761.9689866,4829.525033,15502.97123,62138.99827
2021,0.0000,0.0000,7,60,5000,,,volumetric,,2,7273.034,5525.57,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,13,0,0,16000,27200,63200,219600,676.1163322,1625.043818,1958.482327,5085.818675,85504.53113,739945.8497
2022,0.0000,0.0000,7,89,5000,,,volumetric,,2,5398.585,3031.9,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,13,0,0,16000,27200,63200,219600,676.1163322,1625.043818,1958.482327,5085.818675,85504.53113,739945.8497
2023,0.0000,0.0000,7,93,5000,0,,volumetric,manual,2,2582.841,1821.21,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,13,0,0,16000,27200,61200,210600,676.1163322,1625.043818,1958.482327,5085.818675,85504.53113,739945.8497
2024,0.0000,0.0000,7,204,5000,0,0,volumetric,manual,2,4140.616,4274.49,"1,2,3,4",Scheme,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,4,13,0,0,16000,16000,16000,126400,676.1163322,1625.043818,1958.482327,5085.818675,85504.53113,739945.8497
